threads_per_filter,Tokio,Rust-SPP,stddev,Speedup Tokio,Speedup Rust-SPP,Throughput Tokio,Throughput Rust-SPP
0,261.978,261.978,2.390788573,1,1,1.210025269,1.210025269
1,262.338,90.648,0.2669644171,0.9986277245,2.890058247,1.208364781,3.497043509
2,67.342,50.64,0.3481379037,3.890261649,5.173341232,4.7073149,6.259873618
3,44.612,37.32,0.2006240265,5.87236618,7.01977492,7.105711468,8.494105038
4,36.254,31.134,0.217784297,7.226181939,8.414530738,8.743862746,10.18179482
5,31.54,28.232,0.3372239612,8.306214331,9.279470105,10.05072923,11.22839331
6,29.232,26.58,0.4470458589,8.962027915,9.856207675,10.84428024,11.92626035
7,26.786,25.692,0.4742573141,9.780407676,10.19687062,11.83454043,12.33847112
8,25.85,24.994,0.1836572895,10.13454545,10.48163559,12.26305609,12.68304393
9,24.848,24.766,0.2900517195,10.54322279,10.57813131,12.757566,12.79980619
10,24.26,24.934,0.3350074626,10.7987634,10.50685811,13.06677659,12.71356381
11,24.022,23.734,0.3692289263,10.90575306,11.03808882,13.19623678,13.35636639
12,23.862,24.122,0.3183865575,10.97887855,10.86054224,13.28472048,13.14153055
