Level of Parallelism,Rust-SPP unordered,Rust-SPP ordered,Rayon,Rayon pixel by pixel,Tokio ordered,Tokio unordered,ideal,Speedup Rust-SPP,Speedup Rust-SPP Ordered,Speedup Rayon,Speedup Tokio Ordered,Speedup Tokio Unordered
1,6837,6834,6836,6847,6926,6966,6837,1,1,1,1,1
2,3428,3440,3433,3423,3583,3530,3418.5,1.99445741,1.9875,1.991261288,1.908735696,1.937393768
3,2352,2337,2899,2377,2414,2418,2279,2.906887755,2.925545571,2.358054502,2.833057167,2.828370554
4,1857,1822,1822,1853,1894,1854,1709.25,3.68174475,3.752469813,3.751920966,3.610876452,3.688781014
5,1519,1515,1490,1476,1559,1520,1367.4,4.500987492,4.512871287,4.587919463,4.386786402,4.499342105
6,1307,1312,1389,1304,1335,1299,1139.5,5.231063504,5.211128049,4.921526278,5.122846442,5.264819092
7,1136,1143,1236,1141,1162,1135,976.7142857,6.018485915,5.981627297,5.530744337,5.885542169,6.025550661
8,1011,1012,1019,1001,1027,1007,854.625,6.762611276,6.755928854,6.708537782,6.659201558,6.791459782
9,907,908,907,906,920,905,759.6666667,7.538037486,7.529735683,7.53693495,7.433695652,7.556906077
10,824,824,831,826,836,823,683.7,8.297330097,8.297330097,8.226233454,8.18062201,8.309842041
11,754,754,796,767,766,756,621.5454545,9.067639257,9.067639257,8.587939698,8.928198433,9.046296296
12,695,695,761,716,704,697,569.75,9.837410072,9.837410072,8.982917214,9.714488636,9.81205165
13,644,646,697,658,655,646,525.9230769,10.61645963,10.58359133,9.807747489,10.44122137,10.58668731
14,602,602,655,623,613,601,488.3571429,11.35714286,11.35714286,10.43664122,11.15660685,11.37936772
15,564,564,632,575,577,563,455.8,12.12234043,12.12234043,10.8164557,11.85268631,12.14742451
16,531,530,546,535,544,529,427.3125,12.87570621,12.9,12.52014652,12.57169118,12.92816635
17,500,501,509,500,514,499,402.1764706,13.674,13.64670659,13.4302554,13.30544747,13.70541082
18,474,474,480,474,485,472,379.8333333,14.42405063,14.42405063,14.24166667,14.10103093,14.48940678
19,450,450,456,452,466,448,359.8421053,15.19333333,15.19333333,14.99122807,14.67596567,15.265625
20,428,427,433,430,441,426,341.85,15.97429907,16.0117096,15.78752887,15.50793651,16.05399061
21,410,408,418,410,419,406,325.5714286,16.67560976,16.75735294,16.35406699,16.3221957,16.84482759
22,392,393,407,390,397,387,310.7727273,17.44132653,17.39694656,16.7960688,17.22670025,17.67183463
23,376,376,390,375,384,370,297.2608696,18.18351064,18.18351064,17.52820513,17.80989583,18.48378378
24,364,363,383,359,370,355,284.875,18.78296703,18.83471074,17.84856397,18.48378378,19.26478873
